#Scan:     51          NGC5291 2005-06-27 +02 05 58.0
#                                 Ta    
#         GHz-LSR                 XX
       1.4249242965599966      0.8983905
       1.4249227705660099      0.8080942
       1.4249212445720234      0.6785280
       1.4249197185780365      0.3601027
       1.4249181925840499      0.4008057
       1.4249166665900630      0.5226476
       1.4249151405960765      0.4062758
       1.4249136146020900      0.2395724
       1.4249120886081030      0.2192610
       1.4249105626141165      0.3831584
       1.4249090366201296      0.3606875
       1.4249075106261431      0.1491964
       1.4249059846321563      0.1913023
       1.4249044586381696      0.2878468
       1.4249029326441829      0.2046317
       1.4249014066501962      0.2458152
       1.4248998806562094      0.2810166
       1.4248983546622229      0.2785688
       1.4248968286682360      0.4746804
       1.4248953026742495      0.5349210
       1.4248937766802625      0.5423156
       1.4248922506862760      0.5406381
       1.4248907246922893      0.3218518
       1.4248891986983026      0.3058755
       1.4248876727043158      0.5184344
       1.4248861467103291      0.5022354
       1.4248846207163424      0.3597833
       1.4248830947223559      0.3741244
       1.4248815687283689      0.3663217
       1.4248800427343824      0.3784001
       1.4248785167403955      0.4267208
       1.4248769907464089      0.3601415
       1.4248754647524224      0.2537169
       1.4248739387584355      0.1476810
       1.4248724127644490      0.1819894
       1.4248708867704620      0.2424670
       1.4248693607764755      0.1998180
       1.4248678347824888      0.1621911
       1.4248663087885021      0.2578846
       1.4248647827945153      0.3549079
       1.4248632568005286      0.2855352
       1.4248617308065419      0.1619627
       1.4248602048125554      0.0681236
       1.4248586788185684      0.0566350
       1.4248571528245819      0.1089898
       1.4248556268305950      0.2468465
       1.4248541008366085      0.4102643
       1.4248525748426217      0.5475176
       1.4248510488486350      0.6491632
       1.4248495228546483      0.4969128
       1.4248479968606618      0.2667594
       1.4248464708666748      0.2943424
       1.4248449448726883      0.3065056
       1.4248434188787014      0.2234159
       1.4248418928847149      0.1775747
       1.4248403668907281      0.0907358
       1.4248388408967414      0.0421350
       1.4248373149027549      0.1017429
       1.4248357889087679      0.2361987
       1.4248342629147814      0.4038375
       1.4248327369207947      0.3277433
       1.4248312109268080      0.1311956
       1.4248296849328212      0.2861053
       1.4248281589388345      0.5021291
       1.4248266329448478      0.3631405
       1.4248251069508613      0.2353213
       1.4248235809568743      0.3428273
       1.4248220549628878      0.3286390
       1.4248205289689009      0.2235243
       1.4248190029749144      0.2601503
       1.4248174769809276      0.4554835
       1.4248159509869409      0.5306952
       1.4248144249929542      0.3983193
       1.4248128989989675      0.3425933
       1.4248113730049807      0.2953677
       1.4248098470109942      0.3607995
       1.4248083210170073      0.5511980
       1.4248067950230208      0.4981942
       1.4248052690290338      0.2716334
       1.4248037430350473      0.1932918
       1.4248022170410606      0.2298886
       1.4248006910470739      0.2185314
